entry_id,entity_key,shift_list_key,n_residue_keys,n_residues_with_h,n_residues_with_n,n_strict_unambiguous_hn_pairs,n_conflicting_h_residue_keys,n_conflicting_n_residue_keys,n_conflicting_residue_keys,n_identical_duplicate_h_keys,n_multiple_h_alias_keys,n_identical_duplicate_n_keys,meets_minimum_40_pairs,strict_pair_fraction,is_entry_maximum_group,eligible_for_entity_chain_alignment,final_entity_selected,final_shift_list_selected,selection_deferred_until_structure_alignment
10001,1,1,14,0,14,0,0,0,0,0,0,0,False,0.0,True,False,False,False,False
10002,1,1,50,50,50,50,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10006,1,1,96,96,96,96,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10008,1,1,95,95,93,93,0,0,0,0,0,0,True,0.9789473684210527,True,True,False,False,True
10009,1,1,59,59,59,59,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10011,1,1,103,103,103,103,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10012,1,1,49,49,49,49,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10013,1,1,75,75,71,71,0,0,0,0,0,0,True,0.9466666666666667,True,True,False,False,True
10019,2,1,75,75,75,75,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10019,1,1,17,17,0,0,0,0,0,0,0,0,False,0.0,False,False,False,False,False
10022,1,1,21,0,21,0,0,0,0,0,0,0,False,0.0,True,False,False,False,False
10024,1,1,66,66,66,66,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10025,1,1,93,93,91,91,0,0,0,0,0,0,True,0.978494623655914,True,True,False,False,True
10026,1,1,122,121,121,120,0,0,0,0,0,0,True,0.9836065573770492,True,True,False,False,True
10027,1,1,96,96,96,96,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10028,1,1,37,37,36,36,0,0,0,0,0,0,False,0.972972972972973,True,False,False,False,False
10029,1,1,95,95,94,94,0,0,0,0,0,0,True,0.9894736842105263,True,True,False,False,True
10030,1,1,116,116,116,116,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10031,1,1,113,113,111,111,0,0,0,0,0,0,True,0.9823008849557522,True,True,False,False,True
10032,1,1,108,108,108,108,0,0,0,0,0,0,True,1.0,True,True,False,False,True
10033,1,1,82,82,81,81,0,0,0,0,0,0,True,0.9878048780487805,True,True,False,False,True
10034,1,1,124,124,123,123,0,0,0,0,0,0,True,0.9919354838709677,True,True,False,False,True
