bmrb_id,split,pdb_id,n_processed_rows,n_shift_lists,n_lists_with_hn_pairs,exact_complete_list_numbers,lists_with_any_exact_matches,n_union_matched_rows,n_conflicting_hn_keys,provenance_status,provenance_flag,star_file
3322,train,1E8P,44,1,1,1,1,44,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr3322_3.str
4023,train,1Q2N,55,1,1,1,1,55,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4023_3.str
4052,val,1JOO,128,1,1,1,1,128,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4052_3.str
4053,val,1JOQ,127,1,1,1,1,127,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4053_3.str
4089,train,2DEF,138,1,1,1,1,138,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4089_3.str
4090,val,2EZH,61,1,1,1,1,61,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4090_3.str
4114,train,1A5J,103,1,1,1,1,103,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4114_3.str
4129,train,1Q80,165,3,1,1,1,165,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4129_3.str
4141,train,1NK2,71,3,1,1,1,71,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4141_3.str
4147,train,1H95,69,1,1,1,1,69,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4147_3.str
4153,train,1RXR,78,1,1,1,1,78,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4153_3.str
4155,train,1EOT,63,1,1,1,1,63,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4155_3.str
4156,train,1BJX,106,1,1,1,1,106,0,single_list_exact,False,/content/drive/MyDrive/nmr_hsqc_predictor_v13/data/raw/bmrb/bmr4156_3.str
