source_row_number,bmrb_id,pdb_id,valid_bmrb_id,valid_pdb_id,valid_identifier_pair,duplicate_mapping_pair,known_bmrb_id,known_pdb_id,identifier_excluded,identifier_screen_reason
1,3322,1E8P,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
2,3322,1E8Q,True,True,True,False,True,False,True,known_bmrb_id
3,4020,1BRV,True,True,True,False,False,False,False,eligible_for_shift_screen
4,4023,1Q2N,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
5,4023,2SPZ,True,True,True,False,True,False,True,known_bmrb_id
6,4052,1JOO,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
7,4053,1JOQ,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
8,4089,2DEF,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
9,4090,2EZH,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
10,4114,1A5J,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
11,4120,1A60,True,True,True,False,False,False,False,eligible_for_shift_screen
12,4129,1Q80,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
13,4141,1NK2,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
14,4147,1H95,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
15,4148,4BMF,True,True,True,False,False,False,False,eligible_for_shift_screen
16,4153,1RXR,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
17,4155,1EOT,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
18,4156,1BJX,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
19,4157,1LFC,True,True,True,False,False,False,False,eligible_for_shift_screen
20,4172,1BN9,True,True,True,False,False,False,False,eligible_for_shift_screen
21,4173,1BM6,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
22,4175,1BN0,True,True,True,False,False,False,False,eligible_for_shift_screen
23,4176,1BJD,True,True,True,False,False,False,False,eligible_for_shift_screen
24,4177,1BO0,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
25,4181,1PFD,True,True,True,False,False,False,False,eligible_for_shift_screen
26,4182,1BFY,True,True,True,False,False,False,False,eligible_for_shift_screen
27,4184,1EH2,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
28,4186,1BLR,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
29,4187,1SKP,True,True,True,False,False,False,False,eligible_for_shift_screen
30,4188,1BCI,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
31,4189,1GIW,True,True,True,False,False,False,False,eligible_for_shift_screen
32,4190,1BIG,True,True,True,False,False,False,False,eligible_for_shift_screen
33,4191,2BMT,True,True,True,False,False,False,False,eligible_for_shift_screen
34,4192,1BDE,True,True,True,False,False,False,False,eligible_for_shift_screen
35,4194,1BH1,True,True,True,False,False,False,False,eligible_for_shift_screen
36,4195,2BTX,True,True,True,False,False,False,False,eligible_for_shift_screen
37,4197,2CPS,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
38,4198,1BR0,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
39,4199,3NLA,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
40,4200,1A93,True,True,True,False,False,False,False,eligible_for_shift_screen
41,4201,1A3P,True,True,True,False,False,False,False,eligible_for_shift_screen
42,4202,1BA9,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
43,4202,1RK7,True,True,True,False,True,False,True,known_bmrb_id
44,4204,1BQT,True,True,True,False,False,False,False,eligible_for_shift_screen
45,4206,1MFN,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
46,4207,2ORC,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
47,4208,2DVH,True,True,True,False,False,False,False,eligible_for_shift_screen
48,4209,2CPB,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
49,4210,1BA5,True,True,True,False,False,False,False,eligible_for_shift_screen
50,4211,1BBG,True,True,True,False,False,False,False,eligible_for_shift_screen
51,4212,1BCV,True,True,True,False,False,False,False,eligible_for_shift_screen
52,4213,1BFW,True,True,True,False,False,False,False,eligible_for_shift_screen
53,4214,2TMP,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
54,4215,1SSN,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
55,4216,1BHI,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
56,4217,1BHU,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
57,4218,1CN2,True,True,True,False,False,False,False,eligible_for_shift_screen
58,4219,1BKU,True,True,True,False,False,False,False,eligible_for_shift_screen
59,4220,1BMX,True,True,True,False,False,False,False,eligible_for_shift_screen
60,4221,1BM4,True,True,True,False,False,False,False,eligible_for_shift_screen
61,4222,1MNL,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
62,4223,1TBA,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
63,4224,1MYO,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
64,4225,3GRX,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
65,4226,1LDZ,True,True,True,False,False,False,False,eligible_for_shift_screen
66,4227,1BQZ,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
67,4228,1BQ0,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
68,4229,1BQX,True,True,True,False,False,False,False,eligible_for_shift_screen
69,4230,1BUQ,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
70,4231,1BWE,True,True,True,False,False,False,False,eligible_for_shift_screen
71,4232,1ZAC,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
72,4235,1BWT,True,True,True,False,False,False,False,eligible_for_shift_screen
73,4241,2XBD,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
74,4242,3MSP,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
75,4243,1C11,True,True,True,False,False,False,False,eligible_for_shift_screen
76,4244,1BX5,True,True,True,False,False,False,False,eligible_for_shift_screen
77,4246,2V1V,True,True,True,False,False,False,False,eligible_for_shift_screen
78,4248,2LEF,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
79,4249,1XPA,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
80,4250,3PHP,True,True,True,False,False,False,False,eligible_for_shift_screen
81,4254,1L3G,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
82,4255,2IF1,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
83,4257,1VPC,True,True,True,False,False,False,False,eligible_for_shift_screen
84,4257,1X9V,True,True,True,False,False,False,False,eligible_for_shift_screen
85,4260,1BYV,True,True,True,False,False,False,False,eligible_for_shift_screen
86,4261,1BZB,True,True,True,False,False,False,False,eligible_for_shift_screen
87,4262,1BZF,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
88,4263,2NMB,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
89,4264,1VRC,True,True,True,False,True,False,True,known_bmrb_id
90,4264,3EZA,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
91,4265,1DS9,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
92,4265,1M9L,True,True,True,False,True,False,True,known_bmrb_id
93,4268,1BD6,True,True,True,False,False,False,False,eligible_for_shift_screen
94,4269,1GHT,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
95,4269,1HX7,True,True,True,False,True,False,True,known_bmrb_id
96,4271,1JFJ,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
97,4271,1JFK,True,True,True,False,True,False,True,known_bmrb_id
98,4276,1B2I,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
99,4281,1Z0R,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
100,4285,1K2H,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
101,4292,1B1V,True,True,True,False,False,False,False,eligible_for_shift_screen
102,4299,2F63,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
103,4300,2F65,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
104,4312,1JM4,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
105,4313,1ZRR,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
106,4334,1KQQ,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
107,4342,1LY7,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
108,4347,1QP6,True,True,True,False,False,False,False,eligible_for_shift_screen
109,4351,1QGM,True,True,True,False,False,False,False,eligible_for_shift_screen
110,4372,1C32,True,True,True,False,False,False,False,eligible_for_shift_screen
111,4372,1C34,True,True,True,False,False,False,False,eligible_for_shift_screen
112,4373,1FHO,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
113,4378,2LCP,True,True,True,False,False,False,False,eligible_for_shift_screen
114,4386,1EZY,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
115,4387,8TFV,True,True,True,False,False,False,False,eligible_for_shift_screen
116,4391,1JGK,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
117,4392,1B0S,True,True,True,False,False,False,False,eligible_for_shift_screen
118,4392,1CYZ,True,True,True,False,False,False,False,eligible_for_shift_screen
119,4394,2IFE,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
120,4395,1B75,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
121,4396,1COU,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
122,4397,1B2T,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
123,4398,1QFA,True,True,True,False,False,False,False,eligible_for_shift_screen
124,4399,1CNL,True,True,True,False,False,False,False,eligible_for_shift_screen
125,4400,1B4Y,True,True,True,False,False,False,False,eligible_for_shift_screen
126,4401,1BLQ,True,True,True,False,False,False,False,eligible_for_shift_screen
127,4405,1KHM,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
128,4406,1QFB,True,True,True,False,False,False,False,eligible_for_shift_screen
129,4407,1CMZ,True,True,True,False,False,False,False,eligible_for_shift_screen
130,4409,1QKG,True,True,True,False,False,False,False,eligible_for_shift_screen
131,4412,1QL5,True,True,True,False,False,False,False,eligible_for_shift_screen
132,4413,1COK,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
133,4414,1B3I,True,True,True,False,False,False,False,eligible_for_shift_screen
134,4415,1TTD,True,True,True,False,False,False,False,eligible_for_shift_screen
135,4416,1COC,True,True,True,False,False,False,False,eligible_for_shift_screen
136,4417,1B6F,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
137,4418,1CCQ,True,True,True,False,False,False,False,eligible_for_shift_screen
138,4419,1CB9,True,True,True,False,False,False,False,eligible_for_shift_screen
139,4420,1IM1,True,True,True,False,False,False,False,eligible_for_shift_screen
140,4422,1CCV,True,True,True,False,False,False,False,eligible_for_shift_screen
141,4424,1QHK,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
142,4425,3BDO,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
143,4426,2BDO,True,True,True,False,False,False,False,eligible_for_shift_screen
144,4427,1QKY,True,True,True,False,False,False,False,eligible_for_shift_screen
145,4428,1QQV,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
146,4429,1RQU,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
147,4429,1RQV,True,True,True,False,True,False,True,known_bmrb_id
148,4430,1JWD,True,True,True,False,False,False,False,eligible_for_shift_screen
149,4430,2CNP,True,True,True,False,False,False,False,eligible_for_shift_screen
150,4431,1CKV,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
151,4437,1CEJ,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
152,4445,1D8B,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
153,4447,1H6Q,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
154,4447,1H7Y,True,True,True,False,True,False,True,known_bmrb_id
155,4448,1F3Y,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
156,4452,2AFP,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
157,4455,1CI5,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
158,4461,1DF6,True,True,True,False,False,False,False,eligible_for_shift_screen
159,4467,1UB1,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
160,4473,1L6E,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
161,4473,1R2A,True,True,True,False,True,False,True,known_bmrb_id
162,4475,1CR8,True,True,True,False,False,False,False,eligible_for_shift_screen
163,4476,1B4G,True,True,True,False,False,False,False,eligible_for_shift_screen
164,4477,1B4I,True,True,True,False,False,False,False,eligible_for_shift_screen
165,4478,1B4R,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
166,4481,1B9P,True,True,True,False,False,False,False,eligible_for_shift_screen
167,4483,1CB3,True,True,True,False,False,False,False,eligible_for_shift_screen
168,4486,2MOB,True,True,True,False,False,False,False,eligible_for_shift_screen
169,4487,1CE3,True,True,True,False,False,False,False,eligible_for_shift_screen
170,4488,1CFL,True,True,True,False,False,False,False,eligible_for_shift_screen
171,4490,1QFD,True,True,True,False,False,False,False,eligible_for_shift_screen
172,4491,1QJT,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
173,4492,1JBA,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
174,4493,1UD7,True,True,True,False,True,True,True,known_bmrb_id;known_pdb_id
